Refined_Formal_Name,Original-QID,Second-Query_QID,Original-Refined_Category,Original-Status/Notes,Second-Query_Label,Second-Query_Description,Second-Query_Logic
Philip V of Spain,Q170467,Q170467,Person,西班牙国王。,Philip V of Spain,King of Spain from 1700 to 1746 (1683–1746),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
"Philippe II, Duke of Orléans",Q155596,Q155596,Person,"[OCR Fix] ""Orl谷ans"" -> ""Orléans""。 | 法国摄政王。","Philippe, Duke of Orléans","member of the royal family of France, Regent of the Kingdom from 1715 to 1723 (1674–1723)","High Confidence - Score: 94.3 (Sim: 0.94, Cat: Neutral)"
Philippe Tamizey de Larroque,Q3380754,Q3380754,Person,19世纪法国历史学家。,Philippe Tamizey de Larroque,French historian and writer (1828–1898),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Philippe Zygodon,,,Person,[Verify] 可能是现代人名或笔名，Zygodon 也是一种苔藓。待确认是否为 OCR 错误。,,,No results found
Philippe de Champaigne,Q314814,Q314814,Person,法国巴洛克画家。,Philippe de Champaigne,French painter (1602–1674),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Philips Wouwerman,Q454671,Q454671,Person,荷兰画家。,Philips Wouwerman,painter from the Northern Netherlands (1619-1668),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Phocion,Q175942,Q121842052,Person,雅典将军（普桑画作主题）。,Phocion,male given name,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Piazza Navona,Q463400,Q463400,Place,罗马纳沃纳广场。,Piazza Navona,"public square in Rome, Italy","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Piazza San Marco,Q217527,Q217527,Place,威尼斯圣马可广场。,Piazza San Marco,"square in Venice, Italy","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Piazza del Duomo,Q51150,Q51108,Place,主教座堂广场（通常指米兰或佛罗伦萨）。,piazza del Duomo,"main square of Milan, Italy","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Piazza della Santissima Annunziata,,Q866192,Place,[Standardization] 佛罗伦萨广场。 | 佛罗伦萨广场。,piazza della Santissima Annunziata,"square in Florence, Italy","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Piazza della Signoria,,Q849846,Place,佛罗伦萨领主广场。,piazza della Signoria,"square in Florence, Italy","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Piazza di Spagna,Q15124814,Q15124814,Place,罗马西班牙广场。,Piazza di Spagna,"square in Rome, Italy","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Piazzetta San Marco,,Q10510932,Place,[Ambiguous] 通常指威尼斯小广场（Piazzetta San Marco），也可能指画家 Piazzetta（但此处归为 Place）。,Piazzetta San Marco,"Part of St Mark's Square, Venice","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Piccadilly,Q1124023,Q1124023,Place,伦敦皮卡迪利大街。,Piccadilly,"road in the City of Westminster, London, England","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Pier Alessandro Paravia,Q3902828,Q3902828,Person,19世纪威尼斯文人。,Pier Alessandro Paravia,"Italian writer, scholar, philanthropist and professor (1797-1857)","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Pier Donato Cesi,Q1772401,Q1772401,Person,红衣主教。,Pier Donato Cesi,Italian cardinal (1522-1586),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Pier Francesco Mola,Q1192715,Q1192715,Person,[Category Fix] 原文误标为 Place。巴洛克画家。,Pier Francesco Mola,Swiss painter (1612-1666),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Pier Leone Ghezzi,Q429072,Q429072,Person,罗马讽刺画家（Caricaturist）。,Pier Leone Ghezzi,Italian painter (1674-1755),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Pier Paolo Olivieri,Q19569719,Q19569719,Person,[Duplicate] 同 2738。,Pier Paolo Olivieri,Italian 1551–1599 F:0,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Piero Contarini,Q108325223,Q108325223,Person,威尼斯贵族。,Piero Contarini,Venetian Ambassador,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Piero Misciattelli,Q52156398,Q52156398,Person,艺术史学家（锡耶纳研究）。,Piero Misciattelli,Italian literary man and literary critic (1882-1937),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Pierre Clément,Q22970617,Q118111738,Person,"[OCR Fix] ""Cl谷ment"" -> ""Clément""。历史学家（科尔贝尔传记作者）。",Pierre Clément,biologist,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Pierre Crozat,Q2007354,Q2007354,Person,法国著名收藏家。,Pierre Crozat,French art collector (1661-1740),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Pierre Le Gros the Younger,Q2093685,Q2093685,Person,法国巴洛克雕塑家。,Pierre Le Gros the Younger,sculptor from France (1666-1719),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Pierre Legros the Younger,,Q2093685,Person,[Reconstruction] 雕塑家。,Pierre Le Gros the Younger,sculptor from France (1666-1719),"High Confidence - Score: 98.0 (Sim: 0.98, Cat: Neutral)"
Pierre Louis Maupertuis,,Q164374,Person,数学家/天文学家。 | 法国数学家和哲学家。,Pierre-Louis Moreau de Maupertuis,"French mathematician, philosopher and man of letters","High Confidence - Score: 98.6 (Sim: 0.79, Cat: Match)"
Pierre Motteux and his Family,,,Work,[Category Fix] 画作（可能是 Giovanni Antonio Pellegrini 的作品）。,,,No results found
Pierre Puget,Q371979,Q371979,Person,法国巴洛克雕塑家/画家。,Pierre Puget,"French painter, sculptor, architect and engineer (1620–1694)","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Pierre Rosenberg,Q966176,Q966176,Person,卢浮宫馆长，著名艺术史学家。,Pierre Rosenberg,"French art historian, collector, and former director of the Louvre","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Pierre Subleyras,,Q464898,Person,[Correction] Subleyras 是 Pierre。Giuseppe 可能是误记或指其子 Luigi? 倾向于 Pierre。,Pierre Subleyras,French painter (1699-1749),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Pierre de Lattre,,Q110842672,Person,耶稣会士/画家。,Pierre de Lattre,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Pierre de Nolhac,Q3387652,Q3387652,Person,凡尔赛宫策展人/历史学家。,Pierre de Nolhac,"French philologist, art historian and poet (1859-1936)","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Pierre du Colombier,Q18221983,Q18221983,Person,艺术史学家。,Pierre du Colombier,"French engineer, historian and writer","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Pierre-Jean Grosley,Q1530909,Q1530909,Person,[Validation] 法国作家 (Nouveaux mémoires sur l'Italie)。 | 法国旅行作家。,Pierre-Jean Grosley,French writer,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Pierre-Jean Mariette,Q322341,Q322341,Person,著名的收藏家和鉴赏家。,Pierre-Jean Mariette,French art historian (1694–1774),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Pierre-Étienne Monnot,,Q3383614,Person,"[OCR Fix] ""谷tienne"" -> ""Étienne""。雕塑家。 | 法国雕塑家，主要活跃于罗马。",Pierre-Étienne Monnot,French sculptor (1657–1733),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Pieter Mulier the Younger,,Q666337,Person,"别名 ""Il Tempesta""。 | 别名 Il Tempesta。",Pieter Mulier,Dutch Golden Age painter active in Italy (1637–1701),"Medium Confidence - Score: 88.4 (Sim: 0.68, Cat: Match)"
Pieter van Laer,Q576907,Q576907,Person,别名 Il Bamboccio。,Pieter van Laer,Dutch painter and engraver,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Pietro Acotanto,Q3903621,Q3903621,Person,[Verify] 可能是 Pietro Aretino 的严重 OCR 错误，或中世纪真福（Blessed Pietro Acotanto）。若为17-18世纪语境，存疑。,Pietro Acotanto,Italian monk,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Pietro Aldobrandini,Q691894,Q691894,Person,[Disambiguation] 彼得罗·阿尔多布兰迪尼枢机。 | 红衣主教，重要赞助人。,Pietro Aldobrandini,Catholic cardinal (1571-1621),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Pietro Antonio Novelli,Q1718478,Q2374666,Person,威尼斯画家。,Pietro Antonio Novelli,Italian painter and engraver active in Venice (1729-1804),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Pietro Antonio Toni,,,Person,,,,No results found
Pietro Antonio Zaguri,Q3903649,Q3903649,Person,威尼斯参议员/赞助人。 | 威尼斯贵族/赞助人。,Pietro Antonio Zaguri,venetian politician and architect,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Pietro Aretino,Q296272,Q296272,Person,诗人阿雷蒂诺。,Pietro Aretino,"Italian author, playwright, poet, satirist, and blackmailer (1492-1556)","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Pietro Barbarigo,Q107565971,Q3903674,Person,威尼斯贵族。,Pietro Barbarigo,Roman Catholic patriarch,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Pietro Basadonna,Q3388084,Q3388084,Person,红衣主教/外交官。,Pietro Basadonna,Italian cardinal,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Pietro Bellotti,Q1111180,Q3903693,Person,威尼斯画家（Canaletto 的侄子或同名画家）。,Pietro Bellotti,Italian painter (1625-1700),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Pietro Bernini,Q712397,Q712397,Person,雕塑家，吉安·洛伦佐·贝尼尼之父。,Pietro Bernini,"Italian sculptor, painter and restorer (1562-1629)","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Pietro Bracci,,Q1111180,Person,[Reconstruction] 罗马巴洛克雕塑家。,Pietro Bracci,Italian sculptor (1700-1773),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Pietro Brandolese,Q59526497,Q59526497,Person,艺术导览作家（帕多瓦）。,Pietro Brandolese,"Italian bookseller, publisher, and author (1754–1809)","Medium Confidence - Score: 60.0 (Sim: 1.00, Cat: Conflict)"
Pietro Contarini,,Q86677446,Person,[Validation] 威尼斯贵族。,Pietro Contarini,Roman Catholic bishop,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Pietro Dandini,Q3382675,Q3382675,Person,佛罗伦萨画家。,Pietro Dandini,painter (1646-1712),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Pietro Edwards,Q3903848,Q3903848,Person,威尼斯绘画修复师/监管人。,Pietro Edwards,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Pietro Ercole Gherardi,Q55228133,Q55228133,Person,早期博物馆馆长/作家。,Pietro Ercole Gherardi,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Pietro Foscarini,,Q111034861,Person,威尼斯贵族。,Pietro Foscarini,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Pietro Francavilla,Q1367872,Q1367872,Person,(Pierre de Francqueville) 佛罗伦萨雕塑家。 | [Category Fix] 原文误标为 Man-Made Object。雕塑家。,Pietro Francavilla,French artist (1548-1615),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Pietro Giannone,Q1379553,Q1379553,Person,历史学家。,Pietro Giannone,Italian historian (1676-1748),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Pietro Gradenigo,Q108867130,Q723300,Person,威尼斯学者/日记作者。,Pietro Gradenigo,doge of Venice,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Pietro Grimani,Q786457,Q786457,Person,威尼斯总督。,Pietro Grimani,Doge of Venice (1677-1752),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Pietro Guarienti,Q3388136,Q3388136,Person,艺术史学家/画廊督察。,Pietro Guarienti,Italian painter (c.1700-1765),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Pietro Liberi,Q979467,Q979467,Person,威尼斯画家。,Pietro Liberi,Italian painter (1605-1687),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Pietro Ligari,,Q3904001,Person,"[OCR Fix] ""Gian Pietro"" -> ""Pietro"" (Valtellina artist)。",Giovanni Pietro Ligario,Italian painter (1686-1752),"High Confidence - Score: 92.2 (Sim: 0.72, Cat: Match)"
Pietro Longhi,Q447058,Q447058,Person,威尼斯风俗画家。,Pietro Longhi,Italian painter (1701-1785),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Pietro Loredan,Q1368089,Q1368089,Person,威尼斯总督。,Pietro Loredan,Doge of Venice (1482-1570),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Pietro Magni,,Q1173642,Person,雕塑家（19世纪），需确认是否为同名早期人物，但最著名的是他。,Pietro Magni,Italian football player and manager (1919-1992),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Pietro Martire Bagutti,,Q55225229,Person,[Reconstruction] 灰泥艺术家 (Stuccatore)。,Pietro Martire Bagutti,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Pietro Metastasio,Q29473,Q29473,Person,著名剧作家和诗人。,Pietro Metastasio,Italian poet and librettist (1698–1782),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Pietro Monaco,Q30888067,Q30888067,Person,威尼斯版画家。,Pietro Monaco,Italian engraver (1707-1772),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Pietro Moscheni,,Q957672,Person,可能是 Pietro Moschini (版画家/画家)。,Pietro Mocenigo,Wikipedia Page Match,Advanced Match via 'Pietro Moscheni': Score 91.7 (Neutral)
Pietro Moschini,,Q112476182,Person,19世纪画家/版画家。,Pietro Moschini,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Pietro Negri,Q16590471,Q16590471,Person,威尼斯画家（暗色派）。,Pietro Negri,Italian painter (1628-1679),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Pietro Novelli,,Q1394894,Person,西西里画家。,Pietro Novelli,Italian painter (1603-1647),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Pietro Ottoboni,Q725737,Q725737,Person,著名的红衣主教与艺术赞助人。 | 著名的艺术赞助人，亚历山大八世的侄孙。,Pietro Ottoboni,Catholic cardinal,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Pietro Paltronieri,Q7193012,Q7193012,Person,别名 Il Mirandolese。 | 别名 Il Mirandolese，透视画法画家。,Pietro Paltronieri,Italian painter (1673-1741),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Pietro Paolini,Q774078,Q774078,Person,卢卡画家。,Pietro Paolini,Italian painter (1603-1681),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Pietro Paolo Crescenzi,,Q585835,Person,[Validation] 枢机主教/赞助人。,Pier Paolo Crescenzi,Wikipedia Page Match,Advanced Match via 'Pietro Paolo Crescenzi': Score 100.2 (Neutral)
Pietro Paolo Olivieri,,Q19569719,Person,罗马雕塑家/建筑师。,Pier Paolo Olivieri,Italian 1551–1599 F:0,"High Confidence - Score: 95.0 (Sim: 0.95, Cat: Neutral)"
Pietro Perugino,Q5827,Q5827,Person,佩鲁吉诺。,Pietro Perugino,Italian Renaissance painter of the Umbrian school (1448-1523),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Pietro Pirri,Q19754087,Q19754087,Person,耶稣会历史学家。,Pietro Pirri,Italian Jesuit and art historian (1881-1969),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Pietro Romano,Q85820871,Q133280575,Person,艺术史学家（罗马研究）。,Pietro Romano,Italian doctor and historian (1827-1905),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Pietro Rotari,Q1361950,Q1361950,Person,维罗纳画家，活跃于俄罗斯。,Pietro Rotari,Italian painter of Baroque period (1707–1762),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Pietro Santi Bartoli,Q1106798,Q1106798,Person,"[OCR Fix] 修正 ""Santo"" 为 ""Santi""。版画家/古物学家。 | 罗马版画家/古董学者。",Pietro Santi Bartoli,Italian painter (1635-1700),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Pietro Tacca,Q1350673,Q1350673,Person,佛罗伦萨巴洛克雕塑家。,Pietro Tacca,Italian artist (1577-1640),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Pietro Tacchi Venturi,Q7193040,Q7193040,Person,耶稣会历史学家。,Pietro Tacchi Venturi,Jesuit priest and historian (1861–1956),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Pietro Testa,Q2155480,Q2155480,Person,别名 Il Lucchesino。,Pietro Testa,Italian artist (1611–1650),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Pietro Verri,Q550318,Q550318,Person,启蒙思想家。,Pietro Verri,"Italian philosopher, economist, historian and writer (1728-1797)","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Pietro Visconti,Q127230626,Q127230626,Person,考古学家（罗马古迹委员会）。,Pietro Visconti,Italian painter (18th century),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Pietro Zuccoli,,,Person,,,,No results found
Pietro da Cortona,Q333323,Q333323,Person,[Disambiguation] 皮耶特罗·达·科尔托纳。 | 皮埃特罗·达·科尔托纳。,Pietro da Cortona,Italian painter and architect of the High Baroque (1596-1669),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Pietro de' Pietri,,Q3903654,Person,罗马晚期巴洛克画家。,Pietro da Pietri,Italian painter (1663-1716),"High Confidence - Score: 110.9 (Sim: 0.91, Cat: Match)"
Pietro della Vecchia,Q1529806,Q1529806,Person,威尼斯画家。,Pietro della Vecchia,painter of the Venetian School (1603–1678),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Pietà,,Q3904404,Work,"[OCR Fix/Ambiguous] ""Pieta"" -> ""Pietà""。指圣母怜子主题艺术品（如米开朗基罗或提香）。 | [OCR Fix] ""Piet角"" -> ""Pietà""。圣母怜子图。",Pietà,"painting by Giovanni Bellini in the Gallerie dell'Accademia, Venice","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Pietà (Cosmè Tura),Q48808515,Q3904404,Work,"[OCR Fix] ""Piet角""->""Pietà"", ""Cosm豕""->""Cosmè""。科斯梅·图拉的作品。",Pietà,"painting by Giovanni Bellini in the Gallerie dell'Accademia, Venice",Advanced Match via 'Pietà': Score 120.0 (Match)
Pilgrimage Church,,Q20064854,Place,[Validation] 建筑类型。,pilgrimage church,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Pinacoteca Nazionale di Bologna,Q1103550,Q1103550,Organization,[Category Fix] 博物馆。,Pinacoteca Nazionale di Bologna,museum of arts in Bologna,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Pinacoteca Nazionale di Lucca,,,Organization,[Category Fix] 卢卡国立美术馆。,,,No results found
Pinacoteca Vaticana,Q774940,Q774940,Organization,[Category Fix] 梵蒂冈美术馆。,Pinacoteca Vaticana,branch of the Vatican Museums,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Pinacoteca di Brera,Q150066,Q150066,Organization,[Category Fix] 布雷拉美术馆。,Pinacoteca di Brera,"art museum in Milan, Italy","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Pincian Hill,Q550215,Q550215,Place,罗马平丘山。,Pincian Hill,"hill in Rome, Italy","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Pio Pecchiai,Q89181633,Q89181633,Person,档案学家/历史学家。,Pio Pecchiai,Italian archivist (1882-1965),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
